mmsi,fpi_proxy_legacy,ecp_proxy_legacy,fpi_proxy_scientific,ecp_proxy_scientific,environment_score,temperature_score,salinity_score,productivity_score,hydrodynamic_score,behavior_score,fpi_delta,ecp_delta
249030000,0.834355828220859,0.834355828220859,0.4073,0.4613,0.5984,0.9122,0.9183,0.106,0.156,0.3956,-0.42705582822085897,-0.373055828220859
249082000,0.7746192893401016,0.7746192893401016,0.5985,0.689,0.6317,0.9117,0.9209,0.108,0.3723,0.5758,-0.17611928934010157,-0.08561928934010166
249237000,0.7592329545454546,0.7592329545454546,0.3955,0.4473,0.612,0.9112,0.9198,0.1138,0.2343,0.3826,-0.36373295454545457,-0.3119329545454546
249319000,0.0,0.0,0.0,0.0,0.7253,0.9119,0.9408,0.0894,1.0,0.0,0.0,0.0
249458000,0.8035849056603774,0.8035849056603774,0.3237,0.3635,0.6201,0.9112,0.9212,0.1147,0.285,0.3125,-0.47988490566037745,-0.44008490566037745
249622000,0.4,0.4,0.016,0.0174,0.7268,0.9147,0.9169,0.1138,0.9941,0.015,-0.384,-0.38260000000000005
249623000,0.8585253456221198,0.8585253456221198,0.4536,0.5154,0.6451,0.9149,0.917,0.1166,0.4437,0.4347,-0.4049253456221198,-0.3431253456221198
255805551,0.760909090909091,0.760909090909091,0.1951,0.2165,0.6617,0.9127,0.9158,0.1179,0.5597,0.1861,-0.5658090909090909,-0.544409090909091
255805824,0.3,0.3,0.0137,0.0149,0.6071,0.9112,0.9173,0.1224,0.1905,0.0133,-0.2863,-0.28509999999999996
255805852,0.4,0.4,0.008,0.0087,0.7305,0.912,0.9277,0.1206,1.0,0.0075,-0.392,-0.39130000000000004
255805987,0.0,0.0,0.0,0.0,0.7258,0.9091,0.9238,0.1096,1.0,0.0,0.0,0.0
255806072,0.4,0.4,0.008,0.0087,0.7299,0.9152,0.9183,0.1208,1.0,0.0075,-0.392,-0.39130000000000004
255806091,0.6655052264808362,0.6655052264808362,0.4494,0.5075,0.7082,0.9197,0.9192,0.1241,0.8364,0.423,-0.2161052264808362,-0.15800522648083626
255806095,0.4,0.4,0.008,0.0087,0.7296,0.9157,0.9188,0.1181,1.0,0.0075,-0.392,-0.39130000000000004
255806100,0.8271186440677967,0.8271186440677967,0.3678,0.4144,0.6909,0.914,0.9171,0.1192,0.7472,0.3479,-0.45931864406779666,-0.4127186440677967
255806288,0.7234375,0.7234375,0.1442,0.1593,0.6441,0.9107,0.9269,0.1049,0.4549,0.1382,-0.5792375,-0.5641375
255806357,0.4,0.4,0.008,0.0087,0.7297,0.9158,0.9193,0.118,1.0,0.0075,-0.392,-0.39130000000000004
255915657,0.7715670436187398,0.7715670436187398,0.5118,0.5853,0.6008,0.9126,0.9181,0.1097,0.165,0.4968,-0.2597670436187398,-0.1862670436187398
255916057,0.7963302752293578,0.7963302752293578,0.2706,0.3024,0.6405,0.9095,0.9208,0.1117,0.4306,0.2597,-0.5257302752293578,-0.49393027522935784
256142000,0.8292727272727273,0.8292727272727273,0.3782,0.4268,0.6385,0.9128,0.9172,0.1172,0.4042,0.3631,-0.4510727272727273,-0.40247272727272726
257530000,0.7204724409448819,0.7204724409448819,0.1503,0.1661,0.6831,0.9114,0.9118,0.1052,0.7326,0.1425,-0.570172440944882,-0.5543724409448819
268240202,0.8481732070365359,0.8481732070365359,0.5283,0.6055,0.5946,0.9127,0.9176,0.1035,0.1339,0.5137,-0.3198732070365359,-0.24267320703653583
268240302,1.0,1.0,0.5093,0.5828,0.586,0.9112,0.9158,0.1045,0.0818,0.4965,-0.4907,-0.4172
304017000,0.6979702300405954,0.6979702300405954,0.1776,0.1968,0.629,0.9114,0.9217,0.1174,0.3383,0.171,-0.5203702300405955,-0.5011702300405955
304519000,0.7063636363636363,0.7063636363636363,0.1722,0.1907,0.6829,0.9147,0.9182,0.1149,0.6979,0.1632,-0.5341636363636363,-0.5156636363636363
305145000,0.9505051903114188,0.9505051903114188,0.8611,1.0318,0.7308,0.913,0.9217,0.1249,1.0,0.8054,-0.0894051903114188,0.08129480968858127
305168000,0.7253691275167786,0.7253691275167786,0.2505,0.2796,0.7265,0.9146,0.9297,0.0989,1.0,0.2346,-0.4748691275167786,-0.4457691275167786
305177000,0.9030905077262692,0.9030905077262692,0.7747,0.928,0.6192,0.9107,0.9214,0.1121,0.284,0.7479,-0.12839050772626914,0.02490949227373085
305361000,0.5837902264600715,0.5837902264600715,0.1339,0.1475,0.7257,0.9159,0.9206,0.1098,0.9849,0.1254,-0.4498902264600715,-0.43629022646007154
305434000,0.7152027027027027,0.7152027027027027,0.139,0.1536,0.6015,0.911,0.9255,0.1041,0.1732,0.1349,-0.5762027027027027,-0.5616027027027027
305459000,0.6800718132854578,0.6800718132854578,0.1178,0.1299,0.6185,0.9142,0.9181,0.1108,0.2767,0.1138,-0.5622718132854578,-0.5501718132854578
305558000,0.7203351104341202,0.7203351104341202,0.3221,0.3616,0.6527,0.9109,0.919,0.1078,0.5174,0.308,-0.39823511043412024,-0.35873511043412026
305559000,0.7179902755267423,0.7179902755267423,0.1424,0.1574,0.6109,0.9104,0.9257,0.1109,0.226,0.1378,-0.5755902755267424,-0.5605902755267423
305567000,0.4,0.4,0.024,0.0262,0.7287,0.9158,0.9189,0.1143,1.0,0.0225,-0.376,-0.3738
305568000,0.7568998109640832,0.7568998109640832,0.441,0.5003,0.6552,0.9118,0.9201,0.108,0.5299,0.4214,-0.3158998109640832,-0.25659981096408324
305718000,0.4,0.4,0.008,0.0087,0.7032,0.9119,0.9238,0.1202,0.824,0.0075,-0.392,-0.39130000000000004
305719000,0.6712328767123288,0.6712328767123288,0.0509,0.0558,0.6072,0.9133,0.9138,0.1174,0.1983,0.0493,-0.6203328767123288,-0.6154328767123288
305738000,0.8435714285714286,0.8435714285714286,0.3748,0.4234,0.5953,0.9096,0.9206,0.1119,0.1288,0.3644,-0.4687714285714286,-0.42017142857142864
305749000,0.7830282861896838,0.7830282861896838,0.5511,0.6315,0.6967,0.9151,0.918,0.1217,0.7775,0.5204,-0.23192828618968375,-0.15152828618968384
305901000,0.709502262443439,0.709502262443439,0.1331,0.1468,0.6681,0.9149,0.9169,0.1141,0.6014,0.1267,-0.576402262443439,-0.5627022624434389
306336000,0.0,0.0,0.0,0.0,0.6612,0.9131,0.9218,0.1529,0.4889,0.0,0.0,0.0
306338000,0.4,0.4,0.016,0.0174,0.714,0.9156,0.9165,0.1148,0.9051,0.015,-0.384,-0.38260000000000005
311001611,0.6863406408094435,0.6863406408094435,0.1065,0.1172,0.5958,0.9108,0.918,0.1061,0.1423,0.1035,-0.5798406408094434,-0.5691406408094435
311001622,0.7430830039525691,0.7430830039525691,0.1783,0.1977,0.6294,0.9141,0.9174,0.109,0.3535,0.1716,-0.5647830039525691,-0.5453830039525691
311001713,0.7361930294906167,0.7361930294906167,0.1559,0.1723,0.5934,0.9105,0.9188,0.1043,0.129,0.1517,-0.5802930294906167,-0.5638930294906167
312653000,0.891465256797583,0.891465256797583,0.8032,0.9504,0.7214,0.9119,0.9127,0.1034,0.9882,0.7532,-0.08826525679758301,0.058934743202416984
341310002,0.4,0.4,0.008,0.0087,0.7281,0.9122,0.9232,0.1154,0.998,0.0075,-0.392,-0.39130000000000004
341480002,0.513184584178499,0.513184584178499,0.0639,0.07,0.7265,0.9145,0.9215,0.1055,1.0,0.0598,-0.449284584178499,-0.443184584178499
341600001,0.4,0.4,0.0159,0.0173,0.7021,0.912,0.9262,0.1137,0.824,0.015,-0.3841,-0.38270000000000004
351038000,0.5562874251497006,0.5562874251497006,0.1088,0.1195,0.6647,0.916,0.9179,0.1249,0.5569,0.1037,-0.44748742514970063,-0.43678742514970065
351272000,0.7226415094339622,0.7226415094339622,0.2821,0.3155,0.6456,0.912,0.9194,0.1075,0.4667,0.2703,-0.4405415094339622,-0.4071415094339622
351304000,0.4,0.48,0.0,0.0,0.7236,0.9179,0.919,0.1856,0.8416,0.0,-0.4,-0.48
351324000,0.6990291262135923,0.6990291262135923,0.1316,0.1453,0.5977,0.9114,0.9186,0.1065,0.1517,0.1279,-0.5674291262135922,-0.5537291262135923
351566000,0.7273846153846154,0.7273846153846154,0.3001,0.3362,0.6763,0.9157,0.9183,0.1239,0.6361,0.285,-0.42728461538461543,-0.3911846153846154
351678000,0.828503937007874,0.828503937007874,0.3457,0.3892,0.6821,0.9187,0.9183,0.129,0.6583,0.3278,-0.48280393700787394,-0.43930393700787396
351753000,0.4,0.4,0.008,0.0087,0.7288,0.916,0.9165,0.1261,0.9836,0.0075,-0.392,-0.39130000000000004
352001068,0.6527159394479074,0.6527159394479074,0.4541,0.5162,0.663,0.914,0.9182,0.118,0.5618,0.4329,-0.1986159394479074,-0.1365159394479074
352001261,0.7872935196950445,0.7872935196950445,0.2757,0.3083,0.6182,0.9105,0.9203,0.1073,0.2876,0.2662,-0.5115935196950445,-0.47899351969504445
352001363,0.6831896551724138,0.6831896551724138,0.2636,0.2944,0.6788,0.9164,0.9183,0.1215,0.6549,0.2502,-0.4195896551724138,-0.3887896551724138
352001689,0.7,0.7,0.2497,0.2786,0.7259,0.9127,0.9245,0.1038,1.0,0.2338,-0.4502999999999999,-0.42139999999999994
352001751,0.4,0.4,0.0079,0.0086,0.6636,0.9117,0.9228,0.1197,0.5632,0.0075,-0.3921,-0.3914
352001951,0.7265983751324621,0.7265983751324621,0.7055,0.8202,0.6694,0.9157,0.9183,0.1214,0.5944,0.6714,-0.021098375132462044,0.09360162486753798
352002649,0.7492965224316432,0.7492965224316432,0.6624,0.7715,0.7284,0.9155,0.9264,0.1076,1.0,0.6199,-0.08689652243164325,0.022203477568356722
352002650,0.7674655787863336,0.7674655787863336,0.4349,0.4915,0.7296,0.9171,0.9183,0.1164,1.0,0.4069,-0.3325655787863336,-0.2759655787863336
352002839,0.715566037735849,0.715566037735849,0.2324,0.2591,0.5945,0.9107,0.9191,0.1042,0.1356,0.226,-0.48316603773584904,-0.45646603773584904
352003099,0.8038759689922481,0.8038759689922481,0.268,0.2994,0.6467,0.9148,0.9168,0.12,0.4493,0.2567,-0.5358759689922481,-0.5044759689922481
352003107,0.4,0.4,0.008,0.0087,0.7295,0.9158,0.9205,0.1162,1.0,0.0075,-0.392,-0.39130000000000004
352003112,0.8893506493506493,0.8893506493506493,0.2925,0.3275,0.6553,0.9118,0.9164,0.1149,0.5236,0.2795,-0.5968506493506494,-0.5618506493506493
352003391,0.7838827838827839,0.7838827838827839,0.2081,0.231,0.6656,0.922,0.9165,0.1322,0.5361,0.1982,-0.5757827838827838,-0.5528827838827839
